country,date,value
Estonia,2020/10,-1.7
Estonia,2020/11,-1.2
Estonia,2020/12,-0.9
Estonia,2021/01,0.3
Estonia,2021/02,0.5
Estonia,2021/03,0.9
Estonia,2021/04,1.6
Estonia,2021/05,3.2
Estonia,2021/06,3.7
Estonia,2021/07,4.9
Estonia,2021/08,5
Estonia,2021/09,6.4
Estonia,2021/10,6.8
Ireland,2019/01,0.8
Ireland,2019/02,0.7
Ireland,2019/03,1.1
Ireland,2019/04,1.7
Ireland,2019/05,1
Ireland,2019/06,1.1
Ireland,2019/07,0.5
Ireland,2019/08,0.6
Ireland,2019/09,0.6
Ireland,2019/10,0.6
Ireland,2019/11,0.8
Ireland,2019/12,1.1
Ireland,2020/01,1.1
Ireland,2020/02,0.9
Ireland,2020/03,0.5
Ireland,2020/04,-0.3
Ireland,2020/05,-0.8
Ireland,2020/06,-0.6
Ireland,2020/07,-0.6
Ireland,2020/08,-1.1
Ireland,2020/09,-1.2
Ireland,2020/10,-1.5
Ireland,2020/11,-1
Ireland,2020/12,-1
Ireland,2021/01,-0.1
Ireland,2021/02,-0.4
Ireland,2021/03,0.1
Ireland,2021/04,1.1
Ireland,2021/05,1.9
Ireland,2021/06,1.6
Ireland,2021/07,2.2
Ireland,2021/08,3
Ireland,2021/09,3.8
Ireland,2021/10,5.1
Greece,2019/01,0.5
Greece,2019/02,0.8
Greece,2019/03,1
Greece,2019/04,1.1
Greece,2019/05,0.6
Greece,2019/06,0.2
Greece,2019/07,0.4
Greece,2019/08,0.1
Greece,2019/09,0.2
Greece,2019/10,-0.3
Greece,2019/11,0.5
Greece,2019/12,1.1
Greece,2020/01,1.1
Greece,2020/02,0.4
Greece,2020/03,0.2
Greece,2020/04,-0.9
Greece,2020/05,-0.7
Greece,2020/06,-1.9
Greece,2020/07,-2.1
Greece,2020/08,-2.3
Greece,2020/09,-2.3
Greece,2020/10,-2
Greece,2020/11,-2.1
Greece,2020/12,-2.4
Greece,2021/01,-2.4
Greece,2021/02,-1.9
Greece,2021/03,-2
