date,tenedor,value
2006/08,EMPRESAS NO FINANCIERAS,8652
2006/08,PERSONAS FÍSICAS,1703
2006/08,ADMINISTRACIONES PÚBLICAS,18903
2006/08,NO RESIDENTES,130744
2006/08,TOTAL,252446
2006/09,ENTIDADES DE CREDITO,56215
2006/09,BANCO DE ESPAÑA,6553
2006/09,ENTIDADES DE SEGUROS,16039
2006/09,FONDOS DE PENSIONES,4843
2006/09,FONDOS DE INVERSION,6118
2006/09,OTRAS INSTITUCIONES FINANCIERAS,2845
2006/09,EMPRESAS NO FINANCIERAS,8723
2006/09,PERSONAS FÍSICAS,1779
2006/09,ADMINISTRACIONES PÚBLICAS,18903
2006/09,NO RESIDENTES,132711
2006/09,TOTAL,254729
2006/10,ENTIDADES DE CREDITO,55488
2006/10,BANCO DE ESPAÑA,5638
2006/10,ENTIDADES DE SEGUROS,15466
2006/10,FONDOS DE PENSIONES,4568
2006/10,FONDOS DE INVERSION,5970
2006/10,OTRAS INSTITUCIONES FINANCIERAS,2852
2006/10,EMPRESAS NO FINANCIERAS,8610
2006/10,PERSONAS FÍSICAS,1678
2006/10,ADMINISTRACIONES PÚBLICAS,17774
2006/10,NO RESIDENTES,131082
2006/10,TOTAL,249125
2006/11,ENTIDADES DE CREDITO,52212
2006/11,BANCO DE ESPAÑA,6029
2006/11,ENTIDADES DE SEGUROS,15510
2006/11,FONDOS DE PENSIONES,4618
2006/11,FONDOS DE INVERSION,5914
2006/11,OTRAS INSTITUCIONES FINANCIERAS,2878
2006/11,EMPRESAS NO FINANCIERAS,8516
2006/11,PERSONAS FÍSICAS,1743
2006/11,ADMINISTRACIONES PÚBLICAS,18273
2006/11,NO RESIDENTES,134635
2006/11,TOTAL,250327
2006/12,ENTIDADES DE CREDITO,52782
2006/12,BANCO DE ESPAÑA,6329
2006/12,ENTIDADES DE SEGUROS,15875
2006/12,FONDOS DE PENSIONES,5039
2006/12,FONDOS DE INVERSION,6063
2006/12,OTRAS INSTITUCIONES FINANCIERAS,2821
2006/12,EMPRESAS NO FINANCIERAS,8789
2006/12,PERSONAS FÍSICAS,1757
2006/12,ADMINISTRACIONES PÚBLICAS,18285
2006/12,NO RESIDENTES,133674
2006/12,TOTAL,251414
2007/01,ENTIDADES DE CREDITO,54771
2007/01,BANCO DE ESPAÑA,6652
2007/01,ENTIDADES DE SEGUROS,16075
2007/01,FONDOS DE PENSIONES,5395
2007/01,FONDOS DE INVERSION,6446
2007/01,OTRAS INSTITUCIONES FINANCIERAS,2809
2007/01,EMPRESAS NO FINANCIERAS,8915
2007/01,PERSONAS FÍSICAS,1784
2007/01,ADMINISTRACIONES PÚBLICAS,18285
2007/01,NO RESIDENTES,135107
2007/01,TOTAL,256239
2007/02,ENTIDADES DE CREDITO,58643
2007/02,BANCO DE ESPAÑA,6537
2007/02,ENTIDADES DE SEGUROS,16559
2007/02,FONDOS DE PENSIONES,5610
2007/02,FONDOS DE INVERSION,6546
2007/02,OTRAS INSTITUCIONES FINANCIERAS,3187
2007/02,EMPRESAS NO FINANCIERAS,9068
2007/02,PERSONAS FÍSICAS,1796
2007/02,ADMINISTRACIONES PÚBLICAS,18285
2007/02,NO RESIDENTES,132576
2007/02,TOTAL,258808
2007/03,ENTIDADES DE CREDITO,50902
2007/03,BANCO DE ESPAÑA,7027
2007/03,ENTIDADES DE SEGUROS,16432
2007/03,FONDOS DE PENSIONES,5880
2007/03,FONDOS DE INVERSION,6302
2007/03,OTRAS INSTITUCIONES FINANCIERAS,3326
2007/03,EMPRESAS NO FINANCIERAS,8761
2007/03,PERSONAS FÍSICAS,1747
2007/03,ADMINISTRACIONES PÚBLICAS,20280
2007/03,NO RESIDENTES,141315
2007/03,TOTAL,261973
2007/04,ENTIDADES DE CREDITO,47632
2007/04,BANCO DE ESPAÑA,6999
2007/04,ENTIDADES DE SEGUROS,16268
2007/04,FONDOS DE PENSIONES,6131
2007/04,FONDOS DE INVERSION,6292
2007/04,OTRAS INSTITUCIONES FINANCIERAS,3470
2007/04,EMPRESAS NO FINANCIERAS,8753
2007/04,PERSONAS FÍSICAS,1787
2007/04,ADMINISTRACIONES PÚBLICAS,19932
2007/04,NO RESIDENTES,141045
2007/04,TOTAL,258307
2007/05,ENTIDADES DE CREDITO,52990
2007/05,BANCO DE ESPAÑA,7176
2007/05,ENTIDADES DE SEGUROS,16270
2007/05,FONDOS DE PENSIONES,5896
2007/05,FONDOS DE INVERSION,6079
2007/05,OTRAS INSTITUCIONES FINANCIERAS,3437
2007/05,EMPRESAS NO FINANCIERAS,8789
2007/05,PERSONAS FÍSICAS,1797
2007/05,ADMINISTRACIONES PÚBLICAS,19933
2007/05,NO RESIDENTES,135878
2007/05,TOTAL,258244
2007/06,ENTIDADES DE CREDITO,56568
2007/06,BANCO DE ESPAÑA,7498
2007/06,ENTIDADES DE SEGUROS,16377
2007/06,FONDOS DE PENSIONES,5760
2007/06,FONDOS DE INVERSION,6082
2007/06,OTRAS INSTITUCIONES FINANCIERAS,3538
2007/06,EMPRESAS NO FINANCIERAS,8756
2007/06,PERSONAS FÍSICAS,2249
2007/06,ADMINISTRACIONES PÚBLICAS,20032
2007/06,NO RESIDENTES,136674
2007/06,TOTAL,263534
2007/07,ENTIDADES DE CREDITO,53839
2007/07,BANCO DE ESPAÑA,6728
2007/07,ENTIDADES DE SEGUROS,16219
2007/07,FONDOS DE PENSIONES,5715
2007/07,FONDOS DE INVERSION,5631
2007/07,OTRAS INSTITUCIONES FINANCIERAS,3773
2007/07,EMPRESAS NO FINANCIERAS,8259
2007/07,PERSONAS FÍSICAS,2488
2007/07,ADMINISTRACIONES PÚBLICAS,20020
2007/07,NO RESIDENTES,130246
2007/07,TOTAL,252919
2007/08,ENTIDADES DE CREDITO,52682
2007/08,BANCO DE ESPAÑA,6966
2007/08,ENTIDADES DE SEGUROS,15951
2007/08,FONDOS DE PENSIONES,6031
2007/08,FONDOS DE INVERSION,5781
2007/08,OTRAS INSTITUCIONES FINANCIERAS,3745
2007/08,EMPRESAS NO FINANCIERAS,8124
2007/08,PERSONAS FÍSICAS,2046
2007/08,ADMINISTRACIONES PÚBLICAS,22061
2007/08,NO RESIDENTES,129526
2007/08,TOTAL,252914
2007/09,ENTIDADES DE CREDITO,52690
2007/09,BANCO DE ESPAÑA,7056
2007/09,ENTIDADES DE SEGUROS,16209
2007/09,FONDOS DE PENSIONES,5810
2007/09,FONDOS DE INVERSION,5629
2007/09,OTRAS INSTITUCIONES FINANCIERAS,4009
2007/09,EMPRESAS NO FINANCIERAS,7330
2007/09,PERSONAS FÍSICAS,2051
2007/09,ADMINISTRACIONES PÚBLICAS,22183
2007/09,NO RESIDENTES,132887
2007/09,TOTAL,255852
2007/10,ENTIDADES DE CREDITO,50595
2007/10,BANCO DE ESPAÑA,6156
2007/10,ENTIDADES DE SEGUROS,15341
2007/10,FONDOS DE PENSIONES,5231
2007/10,FONDOS DE INVERSION,4972
2007/10,OTRAS INSTITUCIONES FINANCIERAS,3784
2007/10,EMPRESAS NO FINANCIERAS,7072
2007/10,PERSONAS FÍSICAS,1907
2007/10,ADMINISTRACIONES PÚBLICAS,21049
2007/10,NO RESIDENTES,127785
2007/10,TOTAL,243892
2007/11,ENTIDADES DE CREDITO,52109
2007/11,BANCO DE ESPAÑA,6602
2007/11,ENTIDADES DE SEGUROS,15237
2007/11,FONDOS DE PENSIONES,5322
2007/11,FONDOS DE INVERSION,4960
2007/11,OTRAS INSTITUCIONES FINANCIERAS,3753
2007/11,EMPRESAS NO FINANCIERAS,6969
2007/11,PERSONAS FÍSICAS,1823
2007/11,ADMINISTRACIONES PÚBLICAS,21049
2007/11,NO RESIDENTES,127777
2007/11,TOTAL,245603
2007/12,ENTIDADES DE CREDITO,55902
2007/12,BANCO DE ESPAÑA,7395
2007/12,ENTIDADES DE SEGUROS,15734
2007/12,FONDOS DE PENSIONES,5313
2007/12,FONDOS DE INVERSION,5017
2007/12,OTRAS INSTITUCIONES FINANCIERAS,3831
2007/12,EMPRESAS NO FINANCIERAS,7033
2007/12,PERSONAS FÍSICAS,1878
2007/12,ADMINISTRACIONES PÚBLICAS,21906
2007/12,NO RESIDENTES,122992
2007/12,TOTAL,247001
2008/01,ENTIDADES DE CREDITO,51473
2008/01,BANCO DE ESPAÑA,7065
2008/01,ENTIDADES DE SEGUROS,14903
2008/01,FONDOS DE PENSIONES,5169
2008/01,FONDOS DE INVERSION,4138
2008/01,OTRAS INSTITUCIONES FINANCIERAS,3976
2008/01,EMPRESAS NO FINANCIERAS,6964
2008/01,PERSONAS FÍSICAS,1626
2008/01,ADMINISTRACIONES PÚBLICAS,20831
2008/01,NO RESIDENTES,122594
2008/01,TOTAL,238740
2008/02,ENTIDADES DE CREDITO,52424
2008/02,BANCO DE ESPAÑA,7901
2008/02,ENTIDADES DE SEGUROS,14600
2008/02,FONDOS DE PENSIONES,5402
2008/02,FONDOS DE INVERSION,4027
2008/02,OTRAS INSTITUCIONES FINANCIERAS,4734
2008/02,EMPRESAS NO FINANCIERAS,7158
2008/02,PERSONAS FÍSICAS,1670
2008/02,ADMINISTRACIONES PÚBLICAS,20831
2008/02,NO RESIDENTES,124953
2008/02,TOTAL,243701
2008/03,ENTIDADES DE CREDITO,50855
2008/03,BANCO DE ESPAÑA,8697
2008/03,ENTIDADES DE SEGUROS,14214
2008/03,FONDOS DE PENSIONES,5433
2008/03,FONDOS DE INVERSION,3925
2008/03,OTRAS INSTITUCIONES FINANCIERAS,4795
2008/03,EMPRESAS NO FINANCIERAS,7035
2008/03,PERSONAS FÍSICAS,1667
2008/03,ADMINISTRACIONES PÚBLICAS,24537
2008/03,NO RESIDENTES,122585
2008/03,TOTAL,243743
2008/04,ENTIDADES DE CREDITO,49620
2008/04,BANCO DE ESPAÑA,9501
2008/04,ENTIDADES DE SEGUROS,13865
2008/04,FONDOS DE PENSIONES,5656
2008/04,FONDOS DE INVERSION,3868
2008/04,OTRAS INSTITUCIONES FINANCIERAS,5332
2008/04,EMPRESAS NO FINANCIERAS,7009
2008/04,PERSONAS FÍSICAS,1665
2008/04,ADMINISTRACIONES PÚBLICAS,24608
2008/04,NO RESIDENTES,125531
2008/04,TOTAL,246655
2008/05,ENTIDADES DE CREDITO,51987
2008/05,BANCO DE ESPAÑA,10292
2008/05,ENTIDADES DE SEGUROS,13710
2008/05,FONDOS DE PENSIONES,5521
2008/05,FONDOS DE INVERSION,3854
2008/05,OTRAS INSTITUCIONES FINANCIERAS,5244
2008/05,EMPRESAS NO FINANCIERAS,6986
2008/05,PERSONAS FÍSICAS,1669
2008/05,ADMINISTRACIONES PÚBLICAS,24701
2008/05,NO RESIDENTES,127001
2008/05,TOTAL,250966
2008/06,ENTIDADES DE CREDITO,52960
2008/06,BANCO DE ESPAÑA,10497
2008/06,ENTIDADES DE SEGUROS,13718
2008/06,FONDOS DE PENSIONES,5286
2008/06,FONDOS DE INVERSION,3862
2008/06,OTRAS INSTITUCIONES FINANCIERAS,5239
2008/06,EMPRESAS NO FINANCIERAS,7001
2008/06,PERSONAS FÍSICAS,1660
2008/06,ADMINISTRACIONES PÚBLICAS,25558
2008/06,NO RESIDENTES,127011
2008/06,TOTAL,252793
2008/07,ENTIDADES DE CREDITO,53614
2008/07,BANCO DE ESPAÑA,11041
2008/07,ENTIDADES DE SEGUROS,13725
2008/07,FONDOS DE PENSIONES,5209
2008/07,FONDOS DE INVERSION,3953
2008/07,OTRAS INSTITUCIONES FINANCIERAS,4943
2008/07,EMPRESAS NO FINANCIERAS,6951
2008/07,PERSONAS FÍSICAS,1717
2008/07,ADMINISTRACIONES PÚBLICAS,28345
2008/07,NO RESIDENTES,128728
2008/07,TOTAL,258226
2008/08,ENTIDADES DE CREDITO,51504
2008/08,BANCO DE ESPAÑA,11181
2008/08,ENTIDADES DE SEGUROS,13563
2008/08,FONDOS DE PENSIONES,5212
2008/08,FONDOS DE INVERSION,3956
2008/08,OTRAS INSTITUCIONES FINANCIERAS,4695
2008/08,EMPRESAS NO FINANCIERAS,6931
2008/08,PERSONAS FÍSICAS,1704
2008/08,ADMINISTRACIONES PÚBLICAS,29251
2008/08,NO RESIDENTES,130359
2008/08,TOTAL,258356
2008/09,ENTIDADES DE CREDITO,51643
2008/09,BANCO DE ESPAÑA,11200
2008/09,ENTIDADES DE SEGUROS,13848
2008/09,FONDOS DE PENSIONES,4857
2008/09,FONDOS DE INVERSION,3844
2008/09,OTRAS INSTITUCIONES FINANCIERAS,4880
2008/09,EMPRESAS NO FINANCIERAS,7184
2008/09,PERSONAS FÍSICAS,1606
2008/09,ADMINISTRACIONES PÚBLICAS,29330
2008/09,NO RESIDENTES,137050
2008/09,TOTAL,265441
2008/10,ENTIDADES DE CREDITO,51279
2008/10,BANCO DE ESPAÑA,10364
2008/10,ENTIDADES DE SEGUROS,13832
2008/10,FONDOS DE PENSIONES,4936
2008/10,FONDOS DE INVERSION,3394
2008/10,OTRAS INSTITUCIONES FINANCIERAS,4309
2008/10,EMPRESAS NO FINANCIERAS,6779
2008/10,PERSONAS FÍSICAS,1543
2008/10,ADMINISTRACIONES PÚBLICAS,28161
2008/10,NO RESIDENTES,134313
2008/10,TOTAL,258910
2008/11,ENTIDADES DE CREDITO,58754
2008/11,BANCO DE ESPAÑA,11770
2008/11,ENTIDADES DE SEGUROS,13604
2008/11,FONDOS DE PENSIONES,3939
2008/11,FONDOS DE INVERSION,3395
2008/11,OTRAS INSTITUCIONES FINANCIERAS,4446
2008/11,EMPRESAS NO FINANCIERAS,6745
2008/11,PERSONAS FÍSICAS,1548
2008/11,ADMINISTRACIONES PÚBLICAS,28357
2008/11,NO RESIDENTES,138160
2008/11,TOTAL,270718
2008/12,ENTIDADES DE CREDITO,65191
2008/12,BANCO DE ESPAÑA,11937
2008/12,ENTIDADES DE SEGUROS,13138
2008/12,FONDOS DE PENSIONES,4037
2008/12,FONDOS DE INVERSION,3793
2008/12,OTRAS INSTITUCIONES FINANCIERAS,4443
2008/12,EMPRESAS NO FINANCIERAS,7029
2008/12,PERSONAS FÍSICAS,1518
2008/12,ADMINISTRACIONES PÚBLICAS,30289
2008/12,NO RESIDENTES,138543
2008/12,TOTAL,279918
2009/01,ENTIDADES DE CREDITO,67069
2009/01,BANCO DE ESPAÑA,10968
2009/01,ENTIDADES DE SEGUROS,13593
2009/01,FONDOS DE PENSIONES,4965
2009/01,FONDOS DE INVERSION,4558
2009/01,OTRAS INSTITUCIONES FINANCIERAS,4443
2009/01,EMPRESAS NO FINANCIERAS,7024
2009/01,PERSONAS FÍSICAS,1521
2009/01,ADMINISTRACIONES PÚBLICAS,31389
2009/01,NO RESIDENTES,143346
2009/01,TOTAL,288877
2009/02,ENTIDADES DE CREDITO,71198
2009/02,BANCO DE ESPAÑA,11378
2009/02,ENTIDADES DE SEGUROS,13816
2009/02,FONDOS DE PENSIONES,5624
2009/02,FONDOS DE INVERSION,3905
2009/02,OTRAS INSTITUCIONES FINANCIERAS,3944
2009/02,EMPRESAS NO FINANCIERAS,6996
2009/02,PERSONAS FÍSICAS,1430
2009/02,ADMINISTRACIONES PÚBLICAS,31256
2009/02,NO RESIDENTES,143352
2009/02,TOTAL,292898
2009/03,ENTIDADES DE CREDITO,73927
2009/03,BANCO DE ESPAÑA,11859
2009/03,ENTIDADES DE SEGUROS,13154
2009/03,FONDOS DE PENSIONES,5865
2009/03,FONDOS DE INVERSION,3926
2009/03,OTRAS INSTITUCIONES FINANCIERAS,4213
2009/03,EMPRESAS NO FINANCIERAS,7076
2009/03,PERSONAS FÍSICAS,1474
2009/03,ADMINISTRACIONES PÚBLICAS,32417
2009/03,NO RESIDENTES,143649
2009/03,TOTAL,297559
2009/04,ENTIDADES DE CREDITO,79158
2009/04,BANCO DE ESPAÑA,12062
2009/04,ENTIDADES DE SEGUROS,13562
2009/04,FONDOS DE PENSIONES,6039
2009/04,FONDOS DE INVERSION,3962
2009/04,OTRAS INSTITUCIONES FINANCIERAS,3832
2009/04,EMPRESAS NO FINANCIERAS,7203
2009/04,PERSONAS FÍSICAS,1537
2009/04,ADMINISTRACIONES PÚBLICAS,35807
2009/04,NO RESIDENTES,145242
2009/04,TOTAL,308405
2009/05,ENTIDADES DE CREDITO,80651
2009/05,BANCO DE ESPAÑA,12062
2009/05,ENTIDADES DE SEGUROS,13558
2009/05,FONDOS DE PENSIONES,6249
2009/05,FONDOS DE INVERSION,4002
2009/05,OTRAS INSTITUCIONES FINANCIERAS,3874
2009/05,EMPRESAS NO FINANCIERAS,7414
2009/05,PERSONAS FÍSICAS,1602
2009/05,ADMINISTRACIONES PÚBLICAS,38507
2009/05,NO RESIDENTES,147080
2009/05,TOTAL,315000
2009/06,ENTIDADES DE CREDITO,85876
2009/06,BANCO DE ESPAÑA,12407
2009/06,ENTIDADES DE SEGUROS,14511
2009/06,FONDOS DE PENSIONES,6116
2009/06,FONDOS DE INVERSION,4150
2009/06,OTRAS INSTITUCIONES FINANCIERAS,4252
2009/06,EMPRESAS NO FINANCIERAS,7548
2009/06,PERSONAS FÍSICAS,1654
2009/06,ADMINISTRACIONES PÚBLICAS,38695
2009/06,NO RESIDENTES,150255
2009/06,TOTAL,325463
2009/07,ENTIDADES DE CREDITO,83083
2009/07,BANCO DE ESPAÑA,12686
2009/07,ENTIDADES DE SEGUROS,14565
2009/07,FONDOS DE PENSIONES,5874
2009/07,FONDOS DE INVERSION,5174
2009/07,OTRAS INSTITUCIONES FINANCIERAS,4044
2009/07,EMPRESAS NO FINANCIERAS,7844
2009/07,PERSONAS FÍSICAS,1726
2009/07,ADMINISTRACIONES PÚBLICAS,39607
2009/07,NO RESIDENTES,149923
2009/07,TOTAL,324527
2009/08,ENTIDADES DE CREDITO,84066
2009/08,BANCO DE ESPAÑA,12995
2009/08,ENTIDADES DE SEGUROS,14660
2009/08,FONDOS DE PENSIONES,6055
2009/08,FONDOS DE INVERSION,5575
2009/08,OTRAS INSTITUCIONES FINANCIERAS,4210
2009/08,EMPRESAS NO FINANCIERAS,7892
2009/08,PERSONAS FÍSICAS,1715
2009/08,ADMINISTRACIONES PÚBLICAS,41802
2009/08,NO RESIDENTES,148341
2009/08,TOTAL,327309
2009/09,ENTIDADES DE CREDITO,89380
2009/09,BANCO DE ESPAÑA,12995
2009/09,ENTIDADES DE SEGUROS,15421
2009/09,FONDOS DE PENSIONES,6174
2009/09,FONDOS DE INVERSION,6026
2009/09,OTRAS INSTITUCIONES FINANCIERAS,3918
2009/09,EMPRESAS NO FINANCIERAS,7979
2009/09,PERSONAS FÍSICAS,1747
2009/09,ADMINISTRACIONES PÚBLICAS,42266
2009/09,NO RESIDENTES,153268
2009/09,TOTAL,339174
2009/10,ENTIDADES DE CREDITO,94116
2009/10,BANCO DE ESPAÑA,13305
2009/10,ENTIDADES DE SEGUROS,15559
2009/10,FONDOS DE PENSIONES,6112
2009/10,FONDOS DE INVERSION,6562
2009/10,OTRAS INSTITUCIONES FINANCIERAS,3924
2009/10,EMPRESAS NO FINANCIERAS,8231
2009/10,PERSONAS FÍSICAS,1765
2009/10,ADMINISTRACIONES PÚBLICAS,42272
2009/10,NO RESIDENTES,156325
2009/10,TOTAL,348171
2009/11,ENTIDADES DE CREDITO,98220
2009/11,BANCO DE ESPAÑA,14066
2009/11,ENTIDADES DE SEGUROS,15867
2009/11,FONDOS DE PENSIONES,6178
2009/11,FONDOS DE INVERSION,6935
2009/11,OTRAS INSTITUCIONES FINANCIERAS,3390
2009/11,EMPRESAS NO FINANCIERAS,8231
2009/11,PERSONAS FÍSICAS,1753
2009/11,ADMINISTRACIONES PÚBLICAS,42414
2009/11,NO RESIDENTES,159963
2009/11,TOTAL,357017
2009/12,ENTIDADES DE CREDITO,103085
2009/12,BANCO DE ESPAÑA,14142
2009/12,ENTIDADES DE SEGUROS,16133
2009/12,FONDOS DE PENSIONES,6087
2009/12,FONDOS DE INVERSION,7846
2009/12,OTRAS INSTITUCIONES FINANCIERAS,3397
2009/12,EMPRESAS NO FINANCIERAS,8361
2009/12,PERSONAS FÍSICAS,1795
2009/12,ADMINISTRACIONES PÚBLICAS,42421
2009/12,NO RESIDENTES,159313
2009/12,TOTAL,362579
2010/01,ENTIDADES DE CREDITO,102495
2010/01,BANCO DE ESPAÑA,14253
2010/01,ENTIDADES DE SEGUROS,17120
2010/01,FONDOS DE PENSIONES,5918
2010/01,FONDOS DE INVERSION,8223
2010/01,OTRAS INSTITUCIONES FINANCIERAS,3299
2010/01,EMPRESAS NO FINANCIERAS,8290
2010/01,PERSONAS FÍSICAS,1797
2010/01,ADMINISTRACIONES PÚBLICAS,42421
2010/01,NO RESIDENTES,168206
2010/01,TOTAL,372021
2010/02,ENTIDADES DE CREDITO,99999
2010/02,BANCO DE ESPAÑA,14939
2010/02,ENTIDADES DE SEGUROS,17737
2010/02,FONDOS DE PENSIONES,5878
2010/02,FONDOS DE INVERSION,8540
2010/02,OTRAS INSTITUCIONES FINANCIERAS,3017
2010/02,EMPRESAS NO FINANCIERAS,8599
2010/02,PERSONAS FÍSICAS,1606
2010/02,ADMINISTRACIONES PÚBLICAS,44410
2010/02,NO RESIDENTES,159663
2010/02,TOTAL,364388
2010/03,ENTIDADES DE CREDITO,104648
2010/03,BANCO DE ESPAÑA,15214
2010/03,ENTIDADES DE SEGUROS,18688
2010/03,FONDOS DE PENSIONES,5812
2010/03,FONDOS DE INVERSION,9390
2010/03,OTRAS INSTITUCIONES FINANCIERAS,2990
2010/03,EMPRESAS NO FINANCIERAS,8888
2010/03,PERSONAS FÍSICAS,1637
2010/03,ADMINISTRACIONES PÚBLICAS,45566
2010/03,NO RESIDENTES,162433
2010/03,TOTAL,375266
2010/04,ENTIDADES DE CREDITO,107693
2010/04,BANCO DE ESPAÑA,14915
2010/04,ENTIDADES DE SEGUROS,18792
2010/04,FONDOS DE PENSIONES,5949
2010/04,FONDOS DE INVERSION,10013
2010/04,OTRAS INSTITUCIONES FINANCIERAS,3004
2010/04,EMPRESAS NO FINANCIERAS,8799
2010/04,PERSONAS FÍSICAS,1670
2010/04,ADMINISTRACIONES PÚBLICAS,47867
2010/04,NO RESIDENTES,161797
2010/04,TOTAL,380498
2010/05,ENTIDADES DE CREDITO,109928
2010/05,BANCO DE ESPAÑA,15552
2010/05,ENTIDADES DE SEGUROS,19744
2010/05,FONDOS DE PENSIONES,6447
2010/05,FONDOS DE INVERSION,10415
2010/05,OTRAS INSTITUCIONES FINANCIERAS,3013
2010/05,EMPRESAS NO FINANCIERAS,8918
2010/05,PERSONAS FÍSICAS,1658
2010/05,ADMINISTRACIONES PÚBLICAS,48479
2010/05,NO RESIDENTES,162532
2010/05,TOTAL,386686
2010/06,ENTIDADES DE CREDITO,111442
2010/06,BANCO DE ESPAÑA,16116
2010/06,ENTIDADES DE SEGUROS,21268
2010/06,FONDOS DE PENSIONES,6922
2010/06,FONDOS DE INVERSION,10195
2010/06,OTRAS INSTITUCIONES FINANCIERAS,3071
2010/06,EMPRESAS NO FINANCIERAS,8846
2010/06,PERSONAS FÍSICAS,1717
2010/06,ADMINISTRACIONES PÚBLICAS,49735
2010/06,NO RESIDENTES,164879
2010/06,TOTAL,394190
2010/07,ENTIDADES DE CREDITO,104243
2010/07,BANCO DE ESPAÑA,16596
2010/07,ENTIDADES DE SEGUROS,22501
2010/07,FONDOS DE PENSIONES,7737
2010/07,FONDOS DE INVERSION,9955
2010/07,OTRAS INSTITUCIONES FINANCIERAS,2463
2010/07,EMPRESAS NO FINANCIERAS,8578
2010/07,PERSONAS FÍSICAS,1694
2010/07,ADMINISTRACIONES PÚBLICAS,49034
2010/07,NO RESIDENTES,167941
2010/07,TOTAL,390744
2010/08,ENTIDADES DE CREDITO,102770
2010/08,BANCO DE ESPAÑA,16926
2010/08,ENTIDADES DE SEGUROS,22649
2010/08,FONDOS DE PENSIONES,7769
2010/08,FONDOS DE INVERSION,10759
2010/08,OTRAS INSTITUCIONES FINANCIERAS,2405
2010/08,EMPRESAS NO FINANCIERAS,8655
2010/08,PERSONAS FÍSICAS,1732
2010/08,ADMINISTRACIONES PÚBLICAS,52240
2010/08,NO RESIDENTES,168211
2010/08,TOTAL,394116
2010/09,ENTIDADES DE CREDITO,106565
2010/09,BANCO DE ESPAÑA,16944
2010/09,ENTIDADES DE SEGUROS,23316
2010/09,FONDOS DE PENSIONES,7897
2010/09,FONDOS DE INVERSION,10797
2010/09,OTRAS INSTITUCIONES FINANCIERAS,2496
2010/09,EMPRESAS NO FINANCIERAS,8699
2010/09,PERSONAS FÍSICAS,1754
2010/09,ADMINISTRACIONES PÚBLICAS,52540
2010/09,NO RESIDENTES,169257
2010/09,TOTAL,400267
2010/10,ENTIDADES DE CREDITO,106501
2010/10,BANCO DE ESPAÑA,17355
2010/10,ENTIDADES DE SEGUROS,23862
2010/10,FONDOS DE PENSIONES,7716
2010/10,FONDOS DE INVERSION,10798
2010/10,OTRAS INSTITUCIONES FINANCIERAS,2516
2010/10,EMPRESAS NO FINANCIERAS,8790
2010/10,PERSONAS FÍSICAS,1759
2010/10,ADMINISTRACIONES PÚBLICAS,53083
2010/10,NO RESIDENTES,174305
2010/10,TOTAL,406686
2010/11,ENTIDADES DE CREDITO,101619
2010/11,BANCO DE ESPAÑA,17781
2010/11,ENTIDADES DE SEGUROS,24828
2010/11,FONDOS DE PENSIONES,7880
2010/11,FONDOS DE INVERSION,11659
2010/11,OTRAS INSTITUCIONES FINANCIERAS,1931
2010/11,EMPRESAS NO FINANCIERAS,9219
2010/11,PERSONAS FÍSICAS,1773
2010/11,ADMINISTRACIONES PÚBLICAS,54433
2010/11,NO RESIDENTES,181675
2010/11,TOTAL,412798
2010/12,ENTIDADES DE CREDITO,97750
2010/12,BANCO DE ESPAÑA,17863
2010/12,ENTIDADES DE SEGUROS,26189
2010/12,FONDOS DE PENSIONES,8062
2010/12,FONDOS DE INVERSION,13128
2010/12,OTRAS INSTITUCIONES FINANCIERAS,1961
2010/12,EMPRESAS NO FINANCIERAS,7899
2010/12,PERSONAS FÍSICAS,1824
2010/12,ADMINISTRACIONES PÚBLICAS,57247
2010/12,NO RESIDENTES,185688
2010/12,TOTAL,417611
2011/01,ENTIDADES DE CREDITO,111015
2011/01,BANCO DE ESPAÑA,18251
2011/01,ENTIDADES DE SEGUROS,28182
2011/01,FONDOS DE PENSIONES,8409
2011/01,FONDOS DE INVERSION,13139
2011/01,OTRAS INSTITUCIONES FINANCIERAS,1936
2011/01,EMPRESAS NO FINANCIERAS,9795
2011/01,PERSONAS FÍSICAS,1839
2011/01,ADMINISTRACIONES PÚBLICAS,55667
2011/01,NO RESIDENTES,177760
2011/01,TOTAL,425994
2011/02,ENTIDADES DE CREDITO,112912
2011/02,BANCO DE ESPAÑA,18115
2011/02,ENTIDADES DE SEGUROS,29593
2011/02,FONDOS DE PENSIONES,9051
2011/02,FONDOS DE INVERSION,13187
2011/02,OTRAS INSTITUCIONES FINANCIERAS,1965
2011/02,EMPRESAS NO FINANCIERAS,10090
2011/02,PERSONAS FÍSICAS,1877
2011/02,ADMINISTRACIONES PÚBLICAS,55970
2011/02,NO RESIDENTES,179433
2011/02,TOTAL,432192
2011/03,ENTIDADES DE CREDITO,113763
2011/03,BANCO DE ESPAÑA,18122
2011/03,ENTIDADES DE SEGUROS,30730
2011/03,FONDOS DE PENSIONES,9068
2011/03,FONDOS DE INVERSION,14994
2011/03,OTRAS INSTITUCIONES FINANCIERAS,1947
2011/03,EMPRESAS NO FINANCIERAS,10222
2011/03,PERSONAS FÍSICAS,1937
2011/03,ADMINISTRACIONES PÚBLICAS,57423
2011/03,NO RESIDENTES,185130
2011/03,TOTAL,443336
2011/04,ENTIDADES DE CREDITO,115675
2011/04,BANCO DE ESPAÑA,18045
2011/04,ENTIDADES DE SEGUROS,31584
