date,tenedor,value
2002/12,BANCO DE ESPAÑA,4087
2002/12,ENTIDADES DE SEGUROS,17147
2002/12,FONDOS DE PENSIONES,4510
2002/12,FONDOS DE INVERSION,10546
2002/12,OTRAS INSTITUCIONES FINANCIERAS,1832
2002/12,EMPRESAS NO FINANCIERAS,6718
2002/12,PERSONAS FÍSICAS,2372
2002/12,ADMINISTRACIONES PÚBLICAS,5417
2002/12,NO RESIDENTES,114273
2002/12,TOTAL,235029
2003/01,ENTIDADES DE CREDITO,70579
2003/01,BANCO DE ESPAÑA,3975
2003/01,ENTIDADES DE SEGUROS,15716
2003/01,FONDOS DE PENSIONES,4203
2003/01,FONDOS DE INVERSION,9594
2003/01,OTRAS INSTITUCIONES FINANCIERAS,2376
2003/01,EMPRESAS NO FINANCIERAS,6145
2003/01,PERSONAS FÍSICAS,2147
2003/01,ADMINISTRACIONES PÚBLICAS,5328
2003/01,NO RESIDENTES,108344
2003/01,TOTAL,228407
2003/02,ENTIDADES DE CREDITO,71610
2003/02,BANCO DE ESPAÑA,3910
2003/02,ENTIDADES DE SEGUROS,16538
2003/02,FONDOS DE PENSIONES,4278
2003/02,FONDOS DE INVERSION,9408
2003/02,OTRAS INSTITUCIONES FINANCIERAS,1955
2003/02,EMPRESAS NO FINANCIERAS,6141
2003/02,PERSONAS FÍSICAS,2208
2003/02,ADMINISTRACIONES PÚBLICAS,5283
2003/02,NO RESIDENTES,108704
2003/02,TOTAL,230036
2003/03,ENTIDADES DE CREDITO,73471
2003/03,BANCO DE ESPAÑA,3830
2003/03,ENTIDADES DE SEGUROS,16597
2003/03,FONDOS DE PENSIONES,4225
2003/03,FONDOS DE INVERSION,9564
2003/03,OTRAS INSTITUCIONES FINANCIERAS,2020
2003/03,EMPRESAS NO FINANCIERAS,6105
2003/03,PERSONAS FÍSICAS,2228
2003/03,ADMINISTRACIONES PÚBLICAS,5871
2003/03,NO RESIDENTES,108196
2003/03,TOTAL,232107
2003/04,ENTIDADES DE CREDITO,75946
2003/04,BANCO DE ESPAÑA,3840
2003/04,ENTIDADES DE SEGUROS,16698
2003/04,FONDOS DE PENSIONES,4246
2003/04,FONDOS DE INVERSION,9470
2003/04,OTRAS INSTITUCIONES FINANCIERAS,1956
2003/04,EMPRESAS NO FINANCIERAS,6202
2003/04,PERSONAS FÍSICAS,2242
2003/04,ADMINISTRACIONES PÚBLICAS,6065
2003/04,NO RESIDENTES,111923
2003/04,TOTAL,238588
2003/05,ENTIDADES DE CREDITO,76160
2003/05,BANCO DE ESPAÑA,3908
2003/05,ENTIDADES DE SEGUROS,16737
2003/05,FONDOS DE PENSIONES,4543
2003/05,FONDOS DE INVERSION,9110
2003/05,OTRAS INSTITUCIONES FINANCIERAS,1860
2003/05,EMPRESAS NO FINANCIERAS,6238
2003/05,PERSONAS FÍSICAS,2142
2003/05,ADMINISTRACIONES PÚBLICAS,6063
2003/05,NO RESIDENTES,108612
2003/05,TOTAL,235373
2003/06,ENTIDADES DE CREDITO,81472
2003/06,BANCO DE ESPAÑA,3933
2003/06,ENTIDADES DE SEGUROS,16401
2003/06,FONDOS DE PENSIONES,4196
2003/06,FONDOS DE INVERSION,8939
2003/06,OTRAS INSTITUCIONES FINANCIERAS,1812
2003/06,EMPRESAS NO FINANCIERAS,6556
2003/06,PERSONAS FÍSICAS,2145
2003/06,ADMINISTRACIONES PÚBLICAS,6874
2003/06,NO RESIDENTES,106081
2003/06,TOTAL,238409
2003/07,ENTIDADES DE CREDITO,79674
2003/07,BANCO DE ESPAÑA,3820
2003/07,ENTIDADES DE SEGUROS,16219
2003/07,FONDOS DE PENSIONES,4055
2003/07,FONDOS DE INVERSION,7781
2003/07,OTRAS INSTITUCIONES FINANCIERAS,1805
2003/07,EMPRESAS NO FINANCIERAS,6539
2003/07,PERSONAS FÍSICAS,1992
2003/07,ADMINISTRACIONES PÚBLICAS,7422
2003/07,NO RESIDENTES,105049
2003/07,TOTAL,234357
2003/08,ENTIDADES DE CREDITO,82835
2003/08,BANCO DE ESPAÑA,3836
2003/08,ENTIDADES DE SEGUROS,16310
2003/08,FONDOS DE PENSIONES,4283
2003/08,FONDOS DE INVERSION,8025
2003/08,OTRAS INSTITUCIONES FINANCIERAS,1930
2003/08,EMPRESAS NO FINANCIERAS,6401
2003/08,PERSONAS FÍSICAS,2024
2003/08,ADMINISTRACIONES PÚBLICAS,7798
2003/08,NO RESIDENTES,101929
2003/08,TOTAL,235372
2003/09,ENTIDADES DE CREDITO,81082
2003/09,BANCO DE ESPAÑA,3718
2003/09,ENTIDADES DE SEGUROS,15739
2003/09,FONDOS DE PENSIONES,4233
2003/09,FONDOS DE INVERSION,7718
2003/09,OTRAS INSTITUCIONES FINANCIERAS,1941
2003/09,EMPRESAS NO FINANCIERAS,6455
2003/09,PERSONAS FÍSICAS,2268
2003/09,ADMINISTRACIONES PÚBLICAS,8863
2003/09,NO RESIDENTES,101848
2003/09,TOTAL,233866
2003/10,ENTIDADES DE CREDITO,81506
2003/10,BANCO DE ESPAÑA,3762
2003/10,ENTIDADES DE SEGUROS,15534
2003/10,FONDOS DE PENSIONES,3994
2003/10,FONDOS DE INVERSION,7825
2003/10,OTRAS INSTITUCIONES FINANCIERAS,1881
2003/10,EMPRESAS NO FINANCIERAS,6269
2003/10,PERSONAS FÍSICAS,2229
2003/10,ADMINISTRACIONES PÚBLICAS,8862
2003/10,NO RESIDENTES,100307
2003/10,TOTAL,232169
2003/11,ENTIDADES DE CREDITO,82719
2003/11,BANCO DE ESPAÑA,3860
2003/11,ENTIDADES DE SEGUROS,15603
2003/11,FONDOS DE PENSIONES,4047
2003/11,FONDOS DE INVERSION,7883
2003/11,OTRAS INSTITUCIONES FINANCIERAS,1778
2003/11,EMPRESAS NO FINANCIERAS,6410
2003/11,PERSONAS FÍSICAS,2246
2003/11,ADMINISTRACIONES PÚBLICAS,8863
2003/11,NO RESIDENTES,100448
2003/11,TOTAL,233856
2003/12,ENTIDADES DE CREDITO,84185
2003/12,BANCO DE ESPAÑA,4316
2003/12,ENTIDADES DE SEGUROS,15702
2003/12,FONDOS DE PENSIONES,4083
2003/12,FONDOS DE INVERSION,7723
2003/12,OTRAS INSTITUCIONES FINANCIERAS,1470
2003/12,EMPRESAS NO FINANCIERAS,6463
2003/12,PERSONAS FÍSICAS,1983
2003/12,ADMINISTRACIONES PÚBLICAS,9491
2003/12,NO RESIDENTES,97898
2003/12,TOTAL,233313
2004/01,ENTIDADES DE CREDITO,78573
2004/01,BANCO DE ESPAÑA,4363
2004/01,ENTIDADES DE SEGUROS,14996
2004/01,FONDOS DE PENSIONES,3624
2004/01,FONDOS DE INVERSION,7248
2004/01,OTRAS INSTITUCIONES FINANCIERAS,2360
2004/01,EMPRESAS NO FINANCIERAS,6437
2004/01,PERSONAS FÍSICAS,2003
2004/01,ADMINISTRACIONES PÚBLICAS,10902
2004/01,NO RESIDENTES,107904
2004/01,TOTAL,238409
2004/02,ENTIDADES DE CREDITO,76360
2004/02,BANCO DE ESPAÑA,4708
2004/02,ENTIDADES DE SEGUROS,15164
2004/02,FONDOS DE PENSIONES,3598
2004/02,FONDOS DE INVERSION,6761
2004/02,OTRAS INSTITUCIONES FINANCIERAS,2463
2004/02,EMPRESAS NO FINANCIERAS,6568
2004/02,PERSONAS FÍSICAS,2028
2004/02,ADMINISTRACIONES PÚBLICAS,10903
2004/02,NO RESIDENTES,112931
2004/02,TOTAL,241484
2004/03,ENTIDADES DE CREDITO,78011
2004/03,BANCO DE ESPAÑA,4822
2004/03,ENTIDADES DE SEGUROS,16245
2004/03,FONDOS DE PENSIONES,3531
2004/03,FONDOS DE INVERSION,6527
2004/03,OTRAS INSTITUCIONES FINANCIERAS,1729
2004/03,EMPRESAS NO FINANCIERAS,6527
2004/03,PERSONAS FÍSICAS,2021
2004/03,ADMINISTRACIONES PÚBLICAS,12809
2004/03,NO RESIDENTES,111351
2004/03,TOTAL,243574
2004/04,ENTIDADES DE CREDITO,76234
2004/04,BANCO DE ESPAÑA,4732
2004/04,ENTIDADES DE SEGUROS,16526
2004/04,FONDOS DE PENSIONES,3531
2004/04,FONDOS DE INVERSION,6718
2004/04,OTRAS INSTITUCIONES FINANCIERAS,2011
2004/04,EMPRESAS NO FINANCIERAS,6743
2004/04,PERSONAS FÍSICAS,2035
2004/04,ADMINISTRACIONES PÚBLICAS,13041
