DATAFLOW,LAST UPDATE,freq,projection,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2020,31.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2030,35.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2040,40.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2050,49.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2060,53.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2070,48.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2080,49.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2090,51.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,CZ,2100,52.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2019,33.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2020,33.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2030,42.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2040,47.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2050,48.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2060,49.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2070,49.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2080,50.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2090,52.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DE,2100,53.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2019,30.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2020,31.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2030,37.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2040,42.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2050,43.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2060,46.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2070,48.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2080,50.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2090,52.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,DK,2100,53.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2019,31.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2020,31.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2030,37.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2040,42.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2050,49.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2060,56.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2070,54.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2080,56.6,
